Product_ID,Product_Name,Origin,Freshness_Score,Blockchain_Verified,Last_Scanned
PID_1001,Organic Apples,Farm A,85,No,2025-02-28 12:32:45.440597
PID_1002,Fresh Milk,Dairy B,89,Yes,2025-03-01 12:32:45.440608
PID_1003,Almonds,Farm C,84,No,2025-02-22 12:32:45.440611
PID_1004,Brown Rice,Grain Supplier D,88,No,2025-02-26 12:32:45.440614
PID_1005,Chicken Breast,Poultry E,90,Yes,2025-02-14 12:32:45.440617
PID_1006,Salmon Fillet,Fishery F,93,Yes,2025-03-03 12:32:45.440619
PID_1007,Whole Wheat Bread,Bakery G,91,Yes,2025-02-25 12:32:45.440622
PID_1008,Honey,Bee Farm H,81,No,2025-03-01 12:32:45.440626
PID_1009,Olive Oil,Olive Farm I,96,No,2025-02-28 12:32:45.440629
PID_1010,Cheddar Cheese,Dairy J,85,Yes,2025-02-24 12:32:45.440632
